numero_lista,titulo_lista,titulo_corrigido,id_gregobase,titulo_encontrado
144,"Adesto, Sancta Trinitas","Adesto, Sancta Trinitas",3981,Adesto sancta Trinitas
145,Imensa et Una,Imensa et Una,NAO ENCONTRADO,NAO ENCONTRADO
146,"Kyrie, fons bonitatis","Kyrie, fons bonitatis",3983,Kyrie fons bonitatis
147,Te Patrem summum,Te Patrem summum,15454,Te Patrem summum
148,Auctor beate saeculi,Auctor beate saeculi,3988,Auctor beate saeculi
149,Cor arca legem,Cor arca legem,2391,Cor arca legem continens
150,"Cor Jesu, caritatis","Cor Jesu, caritatis",3987,Cor Jesu caritatis I
151,Em ut superba,Em ut superba,2335,En ut superba
152,"Jesu, autor clementiae","Jesu, autor clementiae",8737,Jesu auctor clementiae
153,"Lux alma, Jesu","Lux alma, Jesu",4041,Lux alma Jesu
154,Summi Parentis,Summi Parentis,3990,Summi Parentis Filio
155,Festivis resonent,Festivis resonent,2839,Festivis resonent
156,Salvete Christi vulnera,Salvete Christi vulnera,2294,Salvete Christi vulnera
157,"Plaude, Mater caritatis (Ambrosiano)","Plaude, Mater caritatis (Ambrosiano)",NAO ENCONTRADO,NAO ENCONTRADO
158,Quicumque Christum quaeritis,Quicumque Christum quaeritis,8427,Quicumque Christum quaeritis
159,aeterna imago Altissimus,aeterna imago Altissimus,9425,Aeterna imago Altissimi
160,Christus vincit (Ambrosiano),Christus vincit (Ambrosiano),3012,Christus vincit
161,Te saeculorum Principem,Te saeculorum Principem,2654,Te saeculorum Principem
162,Te saeculorum Principem (Ambrosiano),Te saeculorum Principem (Ambrosiano),2654,Te saeculorum Principem
163,Vexilla Christus,Vexilla Christus,2588,Vexilla Christus
164,O gente felix (Ambrosiano),O gente felix (Ambrosiano),4913,O gente felix
165,O lux beata caelitum,O lux beata caelitum,2224,O lux beata Caelitum
166,aeterne rerum Conditor,aeterne rerum Conditor,4137,Aeterne rerum Conditor
167,aeterne rerum Conditor (Ambrosiano),aeterne rerum Conditor (Ambrosiano),4137,Aeterne rerum Conditor
168,"Deus, Creator omnium","Deus, Creator omnium",7367,Deus creator omnium
169,"Deus, Creator omnium (Ambrosiano)","Deus, Creator omnium (Ambrosiano)",7367,Deus creator omnium
170,"Kyrie, Rex aeterno","Kyrie, Rex aeterno",NAO ENCONTRADO,NAO ENCONTRADO
171,Lucis creator optime,Lucis creator optime,2014,Lucis Creator optime
172,Lucis creator optime (Alter tonus),Lucis creator optime (Alter tonus),2014,Lucis Creator optime
173,Orbis factor,Orbis factor,9491,Orbis Factor
174,Quando Deus (Ao fim do ano litúrgico),Quando Deus (Ao fim do ano litúrgico),NAO ENCONTRADO,NAO ENCONTRADO
175,"Rerum, Deus, fons","Rerum, Deus, fons",4637,Rerum Deus fons
176,Splendor paternae gloriae,Splendor paternae gloriae,4141,Splendor paternae gloriae
177,Dignum canentes Angeli (Ambrosiano),Dignum canentes Angeli (Ambrosiano),NAO ENCONTRADO,NAO ENCONTRADO
178,Iste Confessor,Iste Confessor,1919,Iste Confessor (Conf. Bishop) (another chant)
179,Laudemus Deum nostrum,Laudemus Deum nostrum,10451,Laudemus Deum nostrum
180,Te Joseph celebrent,Te Joseph celebrent,2235,Te Joseph celebrent
181,Ut queant laxis,Ut queant laxis,2539,Ut queant laxis
182,Nostrae salutis Nunctio,Nostrae salutis Nunctio,14442,Salutis nostrae Auctorem
183,Placare Christus servulis,Placare Christus servulis,2829,Placare Christe servulis
184,Deo fruentes fulgidae (Ambrosiano),Deo fruentes fulgidae (Ambrosiano),NAO ENCONTRADO,NAO ENCONTRADO
185,Credo quod Redemptor,Credo quod Redemptor,3185,Credo quod Redemptor
186,In paradisum,In paradisum,517,In paradisum
187,"Spes, Christe","Spes, Christe",15716,"Spes, Christe, nostrae veniae"
